trial,seed,mocco_cost,mocco_co2,mocco_energy,mocco_win3
trial,seed,mocco_cost,mocco_co2,mocco_energy,mocco_win3
1,42,65.8196343977816,144.941786562606,1252.76598721017,1
1,42,62.2848405861117,145.392826241589,1271.41533373573,1
1,42,52.7395630426295,173.197023022281,1258.50925371799,0
1,42,58.4340965050487,146.578145615104,1227.33557230398,1
1,42,60.3138735903455,156.389334936074,1255.65377166679,0
2,43,59.1940592237601,142.715469940172,1223.52102638452,0
3,44,60.0461551711276,142.405562193481,1232.77435556838,0
1,42,59.0335589698712,144.552298146355,1230.70352555379,0
2,43,60.808538112218,141.958982843364,1231.12910001078,0
3,44,58.7643698773576,144.370569981682,1223.89844932014,0
4,45,60.2293294667005,143.101213298964,1240.07019415923,0
5,46,60.3181910817413,145.689753471928,1245.70980913411,0
6,47,59.2679653722102,142.264874057355,1222.61904962868,0
7,48,58.1505320711082,148.468099247572,1231.12862646921,0
8,49,59.0362638997145,146.405244517671,1238.01040987536,0
9,50,60.2611076145628,142.754322825393,1237.89923123356,1
1,42,69.0840155087309,153.908241161155,1323.39850205364,0
2,43,67.0392015885601,157.516288704292,1305.78398327095,1
1,42,68.8570782638608,167.712102096155,1382.6175885754,0
2,43,68.3063151438034,169.960932592214,1382.53699986462,1
1,42,69.8078896780293,189.800417084018,1491.73247218265,0
2,43,70.9244553797215,187.294506035352,1501.48856854032,0
1,42,67.4598306183224,157.941089348098,1316.79248090501,0
2,43,67.615679027058,154.811275631109,1306.34677500784,1
1,42,67.1848257346308,139.643782890671,1234.77522537883,1
1,42,67.2474941255087,144.084264989699,1244.72270928205,1
1,42,66.7323528727208,147.614168289357,1260.27231564836,1
1,42,67.194392679021,149.267909028885,1274.45763164731,1
1,42,67.9827183700121,154.528108838395,1295.28421521763,1
1,42,67.6723763573894,155.042120256016,1303.1768258726,1
1,42,67.5770391643552,157.933894472196,1318.89525918918,1
1,42,68.1522003259888,160.15896405731,1337.95268812303,0
2,43,67.8021751925711,160.485216222519,1333.57910688781,1
1,42,68.0207455437114,164.376383490741,1348.516776837,0
2,43,67.616777638016,164.77824770229,1348.42701986255,1
1,42,68.2409892580228,165.821895894604,1363.8849985021,0
2,43,68.8974821173556,164.569373457113,1369.89211918278,0
3,44,68.013804484393,167.503789905417,1367.05114016936,1
1,42,68.1948479423991,175.429144499894,1401.62762947572,1
1,42,68.5881350460758,172.323727105539,1397.4084592283,1
1,42,68.9554860316856,176.731100952668,1415.71163191123,1
1,42,69.0640187346557,179.063368147139,1433.19083982179,1
1,42,70.0322243659153,181.996242736823,1463.4756228383,0
2,43,70.3691099972835,193.81322171707,1519.3898806523,0
3,44,69.5159251951274,181.93073508233,1454.25274097769,0
4,45,69.2894004373472,183.187945053059,1455.59436562935,1
1,42,78.0989630459359,202.649391503598,1553.98091934187,0
2,43,70.2832169191141,192.351075054804,1509.54313918007,0
3,44,69.6595698249481,186.260814924521,1475.01925589397,0
4,45,70.2961834044768,208.979027931211,1581.24703702513,0
